,colors,gene_id,gene_name,gene_type,receptor
7963,grey,ENSG00000172197,MBOAT1,gene with protein product,
7964,tan,ENSG00000149418,ST14,gene with protein product,
7965,turquoise,ENSG00000151006,PRSS53,gene with protein product,
7966,turquoise,ENSG00000261641,,,
7967,midnightblue,ENSG00000175591,P2RY2,gene with protein product,P2Y receptors
7968,turquoise,ENSG00000129292,PHF20L1,gene with protein product,
7969,yellow,ENSG00000042286,AIFM2,gene with protein product,
7970,yellow,ENSG00000123815,COQ8B,gene with protein product,
7971,red,ENSG00000163249,CCNYL1,gene with protein product,
7972,green,ENSG00000085231,AK6,gene with protein product,
7973,darkgrey,ENSG00000170653,ATF7,gene with protein product,
7974,blue,ENSG00000141404,GNAL,gene with protein product,
7975,greenyellow,ENSG00000163220,S100A9,gene with protein product,
7976,violet,ENSG00000259820,MIR30DHG,"RNA, long non-coding",
7977,midnightblue,ENSG00000151465,CDC123,gene with protein product,
7978,red,ENSG00000135250,SRPK2,gene with protein product,
7979,turquoise,ENSG00000130529,TRPM4,gene with protein product,Transient receptor potential cation channels
7980,lightcyan,ENSG00000136169,SETDB2,gene with protein product,
7981,brown,ENSG00000109083,IFT20,gene with protein product,
7982,turquoise,ENSG00000159214,CCDC24,gene with protein product,
7983,turquoise,ENSG00000105287,PRKD2,gene with protein product,
7984,lightcyan,ENSG00000198815,FOXJ3,gene with protein product,
7985,grey,ENSG00000169490,TM2D2,gene with protein product,
7986,green,ENSG00000174173,TRMT10C,gene with protein product,
7987,grey,ENSG00000166164,BRD7,gene with protein product,
7988,turquoise,ENSG00000285505,,,
7989,cyan,ENSG00000229809,ZNF688,gene with protein product,
7990,turquoise,ENSG00000099910,KLHL22,gene with protein product,
7991,yellow,ENSG00000239887,C1orf226,gene with protein product,
7992,magenta,ENSG00000281887,GIMAP1-GIMAP5,readthrough,
7993,turquoise,ENSG00000126062,TMEM115,gene with protein product,
7994,brown,ENSG00000037241,RPL26L1,gene with protein product,
7995,grey,ENSG00000282826,FRG1CP,pseudogene,
7996,sienna3,ENSG00000178951,ZBTB7A,gene with protein product,
7997,grey,ENSG00000167842,MIS12,gene with protein product,
7998,grey,ENSG00000153179,RASSF3,gene with protein product,
7999,blue,ENSG00000272750,,,
8000,lightcyan,ENSG00000278683,,,
8001,pink,ENSG00000089876,DHX32,gene with protein product,
8002,blue,ENSG00000115825,PRKD3,gene with protein product,
8003,purple,ENSG00000174720,LARP7,gene with protein product,
8004,steelblue,ENSG00000136867,SLC31A2,gene with protein product,
8005,pink,ENSG00000162733,DDR2,gene with protein product,
8006,grey,ENSG00000133687,TMTC1,gene with protein product,
8007,tan,ENSG00000154096,THY1,gene with protein product,
8008,turquoise,ENSG00000181523,SGSH,gene with protein product,
8009,black,ENSG00000100360,IFT27,gene with protein product,
8010,darkgrey,ENSG00000266953,,,
8011,pink,ENSG00000168273,UQCC5,gene with protein product,
8012,turquoise,ENSG00000133265,HSPBP1,gene with protein product,
8013,violet,ENSG00000203727,SAMD5,gene with protein product,
8014,turquoise,ENSG00000261884,,,
8015,lightyellow,ENSG00000095319,NUP188,gene with protein product,
8016,yellow,ENSG00000248333,CDK11B,gene with protein product,
8017,turquoise,ENSG00000171159,BBLN,gene with protein product,
8018,blue,ENSG00000171109,MFN1,gene with protein product,
8019,turquoise,ENSG00000179151,EDC3,gene with protein product,
8020,grey,ENSG00000112769,LAMA4,gene with protein product,
8021,brown,ENSG00000155792,DEPTOR,gene with protein product,
8022,blue,ENSG00000166908,PIP4K2C,gene with protein product,
8023,saddlebrown,ENSG00000131381,RBSN,gene with protein product,
8024,magenta,ENSG00000266094,RASSF5,gene with protein product,
8025,turquoise,ENSG00000185298,CCDC137,gene with protein product,
8026,white,ENSG00000136826,KLF4,gene with protein product,
8027,royalblue,ENSG00000174837,ADGRE1,gene with protein product,"Adhesion G protein-coupled receptors, subfamily E"
8028,lightcyan,ENSG00000271810,,,
8029,grey,ENSG00000269113,TRABD2B,gene with protein product,
8030,grey,ENSG00000258092,,,
8031,midnightblue,ENSG00000103591,AAGAB,gene with protein product,
8032,blue,ENSG00000065665,SEC61A2,gene with protein product,
8033,grey,ENSG00000130429,ARPC1B,gene with protein product,
8034,turquoise,ENSG00000258504,,,
8035,magenta,ENSG00000154330,PGM5,gene with protein product,
8036,turquoise,ENSG00000134698,AGO4,gene with protein product,
8037,yellow,ENSG00000028839,TBPL1,gene with protein product,
8038,black,ENSG00000186376,ZNF75D,gene with protein product,
8039,saddlebrown,ENSG00000213025,COX20P1,pseudogene,
8040,turquoise,ENSG00000197982,C1orf122,gene with protein product,
8041,lightyellow,ENSG00000072121,ZFYVE26,gene with protein product,
8042,blue,ENSG00000253194,,,
8043,blue,ENSG00000172167,MTBP,gene with protein product,
8044,pink,ENSG00000115350,POLE4,gene with protein product,
8045,black,ENSG00000078687,TNRC6C,gene with protein product,
8046,lightyellow,ENSG00000175137,SH3BP5L,gene with protein product,
8047,turquoise,ENSG00000263126,,,
8048,saddlebrown,ENSG00000127526,SLC35E1,gene with protein product,
8049,grey,ENSG00000130958,SLC35D2,gene with protein product,
8050,turquoise,ENSG00000139718,SETD1B,gene with protein product,
8051,blue,ENSG00000230530,LIMD1-AS1,"RNA, long non-coding",
8052,grey,ENSG00000249746,,,
8053,brown,ENSG00000174749,FAM241A,gene with protein product,
8054,magenta,ENSG00000185862,EVI2B,gene with protein product,
8055,blue,ENSG00000147164,SNX12,gene with protein product,
8056,turquoise,ENSG00000168000,BSCL2,gene with protein product,
8057,magenta,ENSG00000153310,CYRIB,gene with protein product,
8058,black,ENSG00000255857,PXN-AS1,"RNA, long non-coding",
8059,pink,ENSG00000267855,NDUFA7,gene with protein product,
8060,blue,ENSG00000251201,TMED7-TICAM2,readthrough,
8061,blue,ENSG00000187866,PABIR1,gene with protein product,
8062,blue,ENSG00000100462,PRMT5,gene with protein product,
8063,grey,ENSG00000101017,CD40,gene with protein product,
8064,turquoise,ENSG00000159733,ZFYVE28,gene with protein product,
8065,yellow,ENSG00000105671,DDX49,gene with protein product,
8066,yellow,ENSG00000143373,ZNF687,gene with protein product,
8067,salmon,ENSG00000259940,,,
8068,brown,ENSG00000162543,UBXN10,gene with protein product,
8069,brown,ENSG00000114503,NCBP2,gene with protein product,
8070,lightcyan,ENSG00000106554,CHCHD3,gene with protein product,
8071,lightcyan,ENSG00000259923,,,
8072,yellow,ENSG00000166510,CCDC68,gene with protein product,
8073,lightcyan,ENSG00000164074,ABHD18,gene with protein product,
8074,black,ENSG00000255717,SNHG1,"RNA, long non-coding",
8075,turquoise,ENSG00000187961,KLHL17,gene with protein product,
8076,pink,ENSG00000167774,,,
8077,turquoise,ENSG00000089486,CDIP1,gene with protein product,
8078,grey,ENSG00000163655,GMPS,gene with protein product,
8079,grey,ENSG00000210112,MT-TM,"RNA, transfer",
8080,blue,ENSG00000157837,SPPL3,gene with protein product,
8081,brown,ENSG00000174132,FAM174A,gene with protein product,
8082,turquoise,ENSG00000113595,TRIM23,gene with protein product,
8083,grey,ENSG00000204386,NEU1,gene with protein product,
8084,magenta,ENSG00000101191,DIDO1,gene with protein product,
8085,purple,ENSG00000138629,UBL7,gene with protein product,
8086,brown,ENSG00000260206,,,
8087,grey,ENSG00000134531,EMP1,gene with protein product,
8088,grey,ENSG00000214357,NEURL1B,gene with protein product,
8089,cyan,ENSG00000163104,SMARCAD1,gene with protein product,
8090,grey,ENSG00000225489,,,
8091,turquoise,ENSG00000005175,RPAP3,gene with protein product,
8092,turquoise,ENSG00000109065,NAT9,gene with protein product,
8093,grey,ENSG00000063322,MED29,gene with protein product,
8094,turquoise,ENSG00000146826,TRAPPC14,gene with protein product,
8095,turquoise,ENSG00000054983,GALC,gene with protein product,
8096,turquoise,ENSG00000211455,STK38L,gene with protein product,
8097,turquoise,ENSG00000114026,OGG1,gene with protein product,
8098,darkturquoise,ENSG00000163328,GPR155,gene with protein product,
8099,green,ENSG00000185716,MOSMO,gene with protein product,
8100,grey60,ENSG00000262801,,,
8101,blue,ENSG00000064313,TAF2,gene with protein product,
8102,yellow,ENSG00000285830,,,
8103,grey,ENSG00000105755,ETHE1,gene with protein product,
8104,blue,ENSG00000119185,ITGB1BP1,gene with protein product,
8105,midnightblue,ENSG00000281376,ABALON,"RNA, long non-coding",
8106,grey,ENSG00000151092,NGLY1,gene with protein product,
8107,turquoise,ENSG00000284194,SCO2,gene with protein product,
8108,yellow,ENSG00000104142,VPS18,gene with protein product,
8109,red,ENSG00000167220,HDHD2,gene with protein product,
8110,grey,ENSG00000115423,DNAH6,gene with protein product,
8111,greenyellow,ENSG00000154451,GBP5,gene with protein product,
8112,black,ENSG00000198556,ZNF789,gene with protein product,
8113,turquoise,ENSG00000152219,ARL14EP,gene with protein product,
8114,brown,ENSG00000213533,STIMATE,gene with protein product,
8115,brown,ENSG00000196636,SDHAF3,gene with protein product,
8116,yellow,ENSG00000188994,ZNF292,gene with protein product,
8117,lightyellow,ENSG00000215012,RTL10,gene with protein product,
8118,grey,ENSG00000278144,,,
8119,blue,ENSG00000267023,LRRC37A16P,pseudogene,
8120,purple,ENSG00000122435,TRMT13,gene with protein product,
8121,turquoise,ENSG00000167118,URM1,gene with protein product,
8122,turquoise,ENSG00000255108,,,
8123,black,ENSG00000101040,ZMYND8,gene with protein product,
8124,yellow,ENSG00000065320,NTN1,gene with protein product,
8125,turquoise,ENSG00000154222,CC2D1B,gene with protein product,
8126,tan,ENSG00000122642,FKBP9,gene with protein product,
8127,tan,ENSG00000111371,SLC38A1,gene with protein product,
8128,blue,ENSG00000272256,,,
8129,grey,ENSG00000174373,RALGAPA1,gene with protein product,
8130,pink,ENSG00000110442,COMMD9,gene with protein product,
8131,grey,ENSG00000144233,AMMECR1L,gene with protein product,
8132,brown,ENSG00000248092,NNT-AS1,"RNA, long non-coding",
8133,brown,ENSG00000235174,RPL39P3,pseudogene,
8134,blue,ENSG00000066933,MYO9A,gene with protein product,
8135,turquoise,ENSG00000261067,,,
8136,grey,ENSG00000133433,GSTT2B,gene with protein product,
8137,yellow,ENSG00000104884,ERCC2,gene with protein product,
8138,turquoise,ENSG00000213901,SLC23A3,gene with protein product,
8139,turquoise,ENSG00000215039,CD27-AS1,"RNA, long non-coding",
8140,grey,ENSG00000117676,RPS6KA1,gene with protein product,
8141,blue,ENSG00000262769,,,
8142,green,ENSG00000128791,TWSG1,gene with protein product,
8143,turquoise,ENSG00000177030,DEAF1,gene with protein product,
8144,darkred,ENSG00000111846,GCNT2,gene with protein product,
8145,grey,ENSG00000004866,ST7,gene with protein product,
8146,turquoise,ENSG00000103429,BFAR,gene with protein product,
8147,turquoise,ENSG00000233058,ATP13A3-DT,"RNA, long non-coding",
8148,purple,ENSG00000249042,FAM151B-DT,"RNA, long non-coding",
8149,magenta,ENSG00000114450,GNB4,gene with protein product,
8150,turquoise,ENSG00000142182,DNMT3L,gene with protein product,
8151,turquoise,ENSG00000105662,CRTC1,gene with protein product,
8152,yellow,ENSG00000007255,TRAPPC6A,gene with protein product,
8153,grey,ENSG00000163904,SENP2,gene with protein product,
8154,turquoise,ENSG00000078487,ZCWPW1,gene with protein product,
8155,purple,ENSG00000114019,AMOTL2,gene with protein product,
8156,darkorange,ENSG00000151929,BAG3,gene with protein product,
8157,purple,ENSG00000267100,ILF3-DT,"RNA, long non-coding",
8158,black,ENSG00000189007,ADAT2,gene with protein product,
8159,purple,ENSG00000173611,SCAI,gene with protein product,
8160,white,ENSG00000228830,,,
8161,turquoise,ENSG00000274272,,,
8162,turquoise,ENSG00000258301,VASH1-AS1,"RNA, long non-coding",
8163,turquoise,ENSG00000196422,PPP1R26,gene with protein product,
8164,turquoise,ENSG00000039523,RIPOR1,gene with protein product,
8165,yellow,ENSG00000124406,ATP8A1,gene with protein product,
8166,yellow,ENSG00000109066,TMEM104,gene with protein product,
8167,grey,ENSG00000132854,KANK4,gene with protein product,
8168,grey,ENSG00000101751,POLI,gene with protein product,
8169,grey,ENSG00000131475,VPS25,gene with protein product,
8170,turquoise,ENSG00000058272,PPP1R12A,gene with protein product,
8171,blue,ENSG00000100034,PPM1F,gene with protein product,
8172,paleturquoise,ENSG00000214135,SDHAP4,pseudogene,
8173,grey,ENSG00000145934,TENM2,gene with protein product,
8174,purple,ENSG00000162642,C1orf52,gene with protein product,
8175,darkorange,ENSG00000182481,KPNA2,gene with protein product,
8176,turquoise,ENSG00000100027,YPEL1,gene with protein product,
8177,grey,ENSG00000149483,TMEM138,gene with protein product,
8178,grey,ENSG00000131043,AAR2,gene with protein product,
8179,turquoise,ENSG00000130304,SLC27A1,gene with protein product,
8180,turquoise,ENSG00000235173,HGH1,gene with protein product,
8181,magenta,ENSG00000163072,NOSTRIN,gene with protein product,
8182,blue,ENSG00000274114,ALOX15P1,pseudogene,
8183,turquoise,ENSG00000163818,LZTFL1,gene with protein product,
8184,turquoise,ENSG00000117419,ERI3,gene with protein product,
8185,blue,ENSG00000272325,NUDT3,gene with protein product,
8186,turquoise,ENSG00000289690,,,
8187,grey,ENSG00000237238,BMS1P10,pseudogene,
8188,turquoise,ENSG00000174106,LEMD3,gene with protein product,
8189,black,ENSG00000214765,SEPTIN7P2,pseudogene,
8190,black,ENSG00000100211,CBY1,gene with protein product,
8191,blue,ENSG00000249379,GCLC-AS1,"RNA, long non-coding",
8192,grey,ENSG00000122783,CYREN,gene with protein product,
8193,grey,ENSG00000104081,BMF,gene with protein product,
8194,turquoise,ENSG00000175387,SMAD2,gene with protein product,
8195,turquoise,ENSG00000241878,PISD,gene with protein product,
8196,cyan,ENSG00000100503,NIN,gene with protein product,
8197,grey,ENSG00000288894,,,
8198,blue,ENSG00000288725,,,
8199,grey,ENSG00000132823,OSER1,gene with protein product,
8200,blue,ENSG00000143157,POGK,gene with protein product,
8201,darkorange,ENSG00000105447,GRWD1,gene with protein product,
8202,grey,ENSG00000102879,CORO1A,gene with protein product,
8203,turquoise,ENSG00000085511,MAP3K4,gene with protein product,
8204,turquoise,ENSG00000188001,TPRG1,gene with protein product,
8205,turquoise,ENSG00000177225,GATD1,gene with protein product,
8206,yellow,ENSG00000183018,SPNS2,gene with protein product,
8207,brown,ENSG00000117543,DPH5,gene with protein product,
8208,turquoise,ENSG00000184719,RNLS,gene with protein product,
8209,yellow,ENSG00000090674,MCOLN1,gene with protein product,Transient receptor potential cation channels
8210,grey,ENSG00000176834,VSIG10,gene with protein product,
8211,blue,ENSG00000203799,CCDC162P,pseudogene,
8212,turquoise,ENSG00000224870,MRPL20-AS1,"RNA, long non-coding",
8213,green,ENSG00000133103,COG6,gene with protein product,
8214,brown,ENSG00000164167,LSM6,gene with protein product,
8215,green,ENSG00000087095,NLK,gene with protein product,
8216,lightyellow,ENSG00000143409,MINDY1,gene with protein product,
8217,royalblue,ENSG00000197405,C5AR1,gene with protein product,
8218,turquoise,ENSG00000205250,E2F4,gene with protein product,
8219,tan,ENSG00000233369,GTF2IP4,pseudogene,
8220,brown,ENSG00000110328,GALNT18,gene with protein product,
8221,yellow,ENSG00000136295,TTYH3,gene with protein product,
8222,brown,ENSG00000121270,ABCC11,gene with protein product,
8223,magenta,ENSG00000128340,RAC2,gene with protein product,
8224,brown,ENSG00000213965,NUDT19,gene with protein product,
8225,turquoise,ENSG00000127415,IDUA,gene with protein product,
8226,brown,ENSG00000132406,TMEM128,gene with protein product,
8227,turquoise,ENSG00000160226,CFAP410,gene with protein product,
8228,red,ENSG00000165118,QNG1,gene with protein product,
8229,yellow,ENSG00000126461,SCAF1,gene with protein product,
8230,grey,ENSG00000168743,NPNT,gene with protein product,
8231,turquoise,ENSG00000134697,GNL2,gene with protein product,
8232,pink,ENSG00000171311,EXOSC1,gene with protein product,
8233,lightcyan,ENSG00000136098,NEK3,gene with protein product,
8234,turquoise,ENSG00000137815,RTF1,gene with protein product,
8235,turquoise,ENSG00000146834,MEPCE,gene with protein product,
8236,blue,ENSG00000154822,PLCL2,gene with protein product,
8237,blue,ENSG00000117593,DARS2,gene with protein product,
8238,blue,ENSG00000143324,XPR1,gene with protein product,
8239,blue,ENSG00000004700,RECQL,gene with protein product,
8240,grey,ENSG00000109775,UFSP2,gene with protein product,
8241,grey,ENSG00000112118,MCM3,gene with protein product,
8242,turquoise,ENSG00000040487,SLC66A1,gene with protein product,
8243,turquoise,ENSG00000210156,MT-TK,"RNA, transfer",
8244,midnightblue,ENSG00000140694,PARN,gene with protein product,
8245,turquoise,ENSG00000116604,MEF2D,gene with protein product,
8246,turquoise,ENSG00000175701,MTLN,gene with protein product,
8247,tan,ENSG00000115129,TP53I3,gene with protein product,
8248,yellow,ENSG00000148300,REXO4,gene with protein product,
8249,green,ENSG00000089818,NECAP1,gene with protein product,
8250,yellow,ENSG00000181396,OGFOD3,gene with protein product,
8251,turquoise,ENSG00000122557,HERPUD2,gene with protein product,
8252,lightcyan,ENSG00000144840,RABL3,gene with protein product,
8253,yellow,ENSG00000167657,DAPK3,gene with protein product,
8254,green,ENSG00000276418,,,
8255,turquoise,ENSG00000130703,OSBPL2,gene with protein product,
8256,grey,ENSG00000188938,FAM120AOS,gene with protein product,
8257,grey,ENSG00000213380,COG8,gene with protein product,
8258,grey,ENSG00000066056,TIE1,gene with protein product,
8259,pink,ENSG00000259132,,,
8260,salmon,ENSG00000272430,LINC02637,"RNA, long non-coding",
8261,turquoise,ENSG00000126746,ZNF384,gene with protein product,
8262,yellowgreen,ENSG00000100300,TSPO,gene with protein product,
8263,pink,ENSG00000117153,KLHL12,gene with protein product,
8264,grey,ENSG00000173867,,,
8265,blue,ENSG00000238184,CD81-AS1,"RNA, long non-coding",
8266,yellow,ENSG00000179134,SAMD4B,gene with protein product,
8267,lightcyan,ENSG00000233967,,,
8268,blue,ENSG00000246022,ALDH1L1-AS2,"RNA, long non-coding",
8269,midnightblue,ENSG00000269243,,,
8270,magenta,ENSG00000118292,C1orf54,gene with protein product,
8271,lightcyan,ENSG00000259343,TMC3-AS1,"RNA, long non-coding",
8272,grey,ENSG00000198860,TSEN15,gene with protein product,
8273,darkturquoise,ENSG00000169410,PTPN9,gene with protein product,Protein tyrosine phosphatases non-receptor type
8274,lightcyan,ENSG00000148842,CNNM2,gene with protein product,
8275,blue,ENSG00000254692,,,
8276,turquoise,ENSG00000115207,GTF3C2,gene with protein product,
8277,turquoise,ENSG00000168477,TNXB,gene with protein product,
8278,turquoise,ENSG00000173933,RBM4,gene with protein product,
8279,yellow,ENSG00000106330,MOSPD3,gene with protein product,
8280,tan,ENSG00000070404,FSTL3,gene with protein product,
8281,blue,ENSG00000137486,ARRB1,gene with protein product,
8282,orange,ENSG00000223901,,,
8283,black,ENSG00000130584,ZBTB46,gene with protein product,
8284,midnightblue,ENSG00000107937,GTPBP4,gene with protein product,
8285,grey,ENSG00000170775,GPR37,gene with protein product,"G protein-coupled receptors, Class A orphans"
8286,green,ENSG00000111875,ASF1A,gene with protein product,
8287,turquoise,ENSG00000182400,TRAPPC6B,gene with protein product,
8288,grey,ENSG00000109956,B3GAT1,gene with protein product,
8289,turquoise,ENSG00000126005,MMP24OS,gene with protein product,
8290,turquoise,ENSG00000187634,SAMD11,gene with protein product,
8291,grey,ENSG00000101546,RBFA,gene with protein product,
8292,grey,ENSG00000171421,MRPL36,gene with protein product,
8293,yellow,ENSG00000182108,DEXI,gene with protein product,
8294,pink,ENSG00000066379,POLR1H,gene with protein product,
8295,blue,ENSG00000273398,,,
8296,grey,ENSG00000144231,POLR2D,gene with protein product,
8297,black,ENSG00000100596,SPTLC2,gene with protein product,
8298,grey,ENSG00000003147,ICA1,gene with protein product,
8299,grey,ENSG00000177000,MTHFR,gene with protein product,
8300,grey,ENSG00000146112,PPP1R18,gene with protein product,
8301,turquoise,ENSG00000197013,ZNF429,gene with protein product,
8302,turquoise,ENSG00000071246,VASH1,gene with protein product,
8303,blue,ENSG00000048649,RSF1,gene with protein product,
8304,lightgreen,ENSG00000146374,RSPO3,gene with protein product,
8305,tan,ENSG00000169604,ANTXR1,gene with protein product,
8306,grey,ENSG00000032742,IFT88,gene with protein product,
8307,blue,ENSG00000113522,RAD50,gene with protein product,
8308,turquoise,ENSG00000123342,MMP19,gene with protein product,
8309,skyblue,ENSG00000203709,MIR29B2CHG,"RNA, long non-coding",
8310,turquoise,ENSG00000156990,RPUSD3,gene with protein product,
8311,grey60,ENSG00000154217,PITPNC1,gene with protein product,
8312,turquoise,ENSG00000139914,FITM1,gene with protein product,
8313,yellow,ENSG00000141568,FOXK2,gene with protein product,
8314,lightcyan,ENSG00000162105,SHANK2,gene with protein product,
8315,turquoise,ENSG00000071462,BUD23,gene with protein product,
8316,grey,ENSG00000235655,H3P6,pseudogene,
8317,blue,ENSG00000166377,ATP9B,gene with protein product,
8318,brown,ENSG00000154803,FLCN,gene with protein product,
8319,turquoise,ENSG00000115317,HTRA2,gene with protein product,
8320,turquoise,ENSG00000090097,PCBP4,gene with protein product,
8321,yellow,ENSG00000104883,PEX11G,gene with protein product,
8322,red,ENSG00000031003,FAM13B,gene with protein product,
8323,yellow,ENSG00000160703,NLRX1,gene with protein product,
8324,pink,ENSG00000101363,MANBAL,gene with protein product,
8325,blue,ENSG00000132953,XPO4,gene with protein product,
8326,skyblue,ENSG00000136895,GARNL3,gene with protein product,
8327,blue,ENSG00000013503,POLR3B,gene with protein product,
8328,turquoise,ENSG00000145214,DGKQ,gene with protein product,
8329,midnightblue,ENSG00000106305,AIMP2,gene with protein product,
8330,yellow,ENSG00000128626,MRPS12,gene with protein product,
8331,yellow,ENSG00000142409,ZNF787,gene with protein product,
8332,grey,ENSG00000169902,TPST1,gene with protein product,
8333,turquoise,ENSG00000168944,CEP120,gene with protein product,
8334,blue,ENSG00000160208,RRP1B,gene with protein product,
8335,paleturquoise,ENSG00000142634,EFHD2,gene with protein product,
8336,turquoise,ENSG00000102890,ELMO3,gene with protein product,
8337,brown,ENSG00000076043,REXO2,gene with protein product,
8338,grey,ENSG00000229851,ARSD-AS1,"RNA, long non-coding",
8339,brown,ENSG00000148835,TAF5,gene with protein product,
8340,turquoise,ENSG00000170854,RIOX2,gene with protein product,
8341,grey,ENSG00000108175,ZMIZ1,gene with protein product,
8342,grey,ENSG00000123607,TTC21B,gene with protein product,
8343,turquoise,ENSG00000116809,ZBTB17,gene with protein product,
8344,greenyellow,ENSG00000174600,CMKLR1,gene with protein product,Chemerin receptors
8345,black,ENSG00000261829,,,
8346,midnightblue,ENSG00000205744,DENND1C,gene with protein product,
8347,turquoise,ENSG00000246922,UBAP1L,gene with protein product,
8348,darkolivegreen,ENSG00000285528,,,
8349,red,ENSG00000162607,USP1,gene with protein product,
8350,grey,ENSG00000067992,PDK3,gene with protein product,
8351,red,ENSG00000164902,PHAX,gene with protein product,
8352,blue,ENSG00000173473,SMARCC1,gene with protein product,
8353,blue,ENSG00000117222,RBBP5,gene with protein product,
8354,darkgreen,ENSG00000244716,RPL17P7,pseudogene,
8355,grey,ENSG00000131981,LGALS3,gene with protein product,
8356,turquoise,ENSG00000168913,ENHO,gene with protein product,
8357,turquoise,ENSG00000111203,ITFG2,gene with protein product,
8358,grey,ENSG00000090776,EFNB1,gene with protein product,
8359,brown,ENSG00000108960,MMD,gene with protein product,Progestin and adipoQ receptor family
8360,turquoise,ENSG00000143811,PYCR2,gene with protein product,
8361,turquoise,ENSG00000225697,SLC26A6,gene with protein product,
8362,black,ENSG00000279218,,,
8363,turquoise,ENSG00000174579,MSL2,gene with protein product,
8364,purple,ENSG00000117533,VAMP4,gene with protein product,
8365,yellow,ENSG00000284031,MIR4761,"RNA, micro",
8366,turquoise,ENSG00000146282,RARS2,gene with protein product,
8367,blue,ENSG00000156802,ATAD2,gene with protein product,
8368,turquoise,ENSG00000160767,ENTREP3,gene with protein product,
8369,black,ENSG00000160908,ZNF394,gene with protein product,
8370,grey,ENSG00000163590,PPM1L,gene with protein product,
8371,paleturquoise,ENSG00000120733,KDM3B,gene with protein product,
8372,black,ENSG00000104218,CSPP1,gene with protein product,
8373,magenta,ENSG00000105374,NKG7,gene with protein product,
8374,turquoise,ENSG00000160570,DEDD2,gene with protein product,
8375,blue,ENSG00000225792,SNX10-AS1,"RNA, long non-coding",
8376,yellow,ENSG00000143862,ARL8A,gene with protein product,
8377,turquoise,ENSG00000167491,GATAD2A,gene with protein product,
8378,royalblue,ENSG00000155926,SLA,gene with protein product,
8379,grey,ENSG00000165271,NOL6,gene with protein product,
8380,grey,ENSG00000152661,GJA1,gene with protein product,
8381,blue,ENSG00000228925,,,
8382,brown,ENSG00000101132,PFDN4,gene with protein product,
8383,brown,ENSG00000255872,,,
8384,grey,ENSG00000012048,BRCA1,gene with protein product,
8385,turquoise,ENSG00000254578,,,
8386,green,ENSG00000187257,RSBN1L,gene with protein product,
8387,turquoise,ENSG00000107872,FBXL15,gene with protein product,
8388,turquoise,ENSG00000171606,ZNF274,gene with protein product,
8389,turquoise,ENSG00000131023,LATS1,gene with protein product,
8390,turquoise,ENSG00000100949,RABGGTA,gene with protein product,
8391,green,ENSG00000139370,SLC15A4,gene with protein product,
8392,blue,ENSG00000240056,,,
8393,red,ENSG00000224531,SMIM13,gene with protein product,
8394,grey,ENSG00000164609,SLU7,gene with protein product,
8395,brown,ENSG00000172339,ALG14,gene with protein product,
8396,blue,ENSG00000255154,HTD2,gene with protein product,
8397,turquoise,ENSG00000232940,HCG25,"RNA, long non-coding",
8398,turquoise,ENSG00000253641,LINC03022,"RNA, long non-coding",
8399,blue,ENSG00000100207,TCF20,gene with protein product,
8400,brown,ENSG00000163754,GYG1,gene with protein product,
8401,magenta,ENSG00000162981,LRATD1,gene with protein product,
8402,grey,ENSG00000104723,TUSC3,gene with protein product,
8403,grey,ENSG00000122299,ZC3H7A,gene with protein product,
8404,turquoise,ENSG00000197857,ZNF44,gene with protein product,
8405,green,ENSG00000164823,OSGIN2,gene with protein product,
8406,skyblue,ENSG00000081087,OSTM1,gene with protein product,
8407,grey,ENSG00000119041,GTF3C3,gene with protein product,
8408,tan,ENSG00000064651,SLC12A2,gene with protein product,
8409,turquoise,ENSG00000012983,MAP4K5,gene with protein product,
8410,green,ENSG00000162959,MEMO1,gene with protein product,
8411,turquoise,ENSG00000246203,,,
8412,turquoise,ENSG00000097021,ACOT7,gene with protein product,
8413,brown,ENSG00000213246,SUPT4H1,gene with protein product,
8414,blue,ENSG00000164715,LMTK2,gene with protein product,
8415,pink,ENSG00000175575,PAAF1,gene with protein product,
8416,brown,ENSG00000154447,SH3RF1,gene with protein product,
8417,yellow,ENSG00000099203,TMED1,gene with protein product,
8418,turquoise,ENSG00000188566,NDOR1,gene with protein product,
8419,darkgrey,ENSG00000235437,LINC01278,"RNA, long non-coding",
8420,turquoise,ENSG00000180448,ARHGAP45,gene with protein product,
8421,royalblue,ENSG00000162894,FCMR,gene with protein product,
8422,black,ENSG00000177082,WDR73,gene with protein product,
8423,turquoise,ENSG00000132382,MYBBP1A,gene with protein product,
8424,blue,ENSG00000143126,CELSR2,gene with protein product,"Adhesion G protein-coupled receptors, subfamily C"
8425,yellow,ENSG00000105289,TJP3,gene with protein product,
8426,midnightblue,ENSG00000103966,EHD4,gene with protein product,
8427,brown,ENSG00000109536,FRG1,gene with protein product,
8428,pink,ENSG00000106367,AP1S1,gene with protein product,
8429,tan,ENSG00000139926,FRMD6,gene with protein product,
8430,turquoise,ENSG00000162650,ATXN7L2,gene with protein product,
8431,yellow,ENSG00000172992,DCAKD,gene with protein product,
8432,turquoise,ENSG00000175711,B3GNTL1,gene with protein product,
8433,grey,ENSG00000086712,TXLNG,gene with protein product,
8434,black,ENSG00000140525,FANCI,gene with protein product,
8435,darkred,ENSG00000111879,FAM184A,gene with protein product,
8436,turquoise,ENSG00000130762,ARHGEF16,gene with protein product,
